year,gini
1967,0.397
1968,0.386
1969,0.391
1970,0.394
1971,0.396
1972,0.401
1973,0.397
1974,0.395
1975,0.397
1976,0.398
1977,0.402
1978,0.402
1979,0.404
1980,0.403
1981,0.406
1982,0.412
1983,0.414
1984,0.415
1985,0.419
1986,0.425
1987,0.426
1988,0.427
1989,0.431
1990,0.428
1991,0.428
1992,0.434
1993,0.454
1994,0.456
1995,0.450
1996,0.455
1997,0.459
1998,0.456
1999,0.457
2000,0.462
2001,0.466
2002,0.462
2003,0.464
2004,0.466
2005,0.469
2006,0.470
2007,0.463
2008,0.466
2009,0.468
2010,0.469
2011,0.477
2012,0.477
2013,0.476
2014,0.480
2015,0.479
2016,0.481
2017,0.482
2018,0.486
2019,0.484
2020,0.489
2021,0.494
2022,0.494
2023,0.494
2024,0.494
